Gene,Gene name,Module,Type,
ENSMUSG00000034560,A230046K03Rik,L1,TYPE_I,
ENSMUSG00000020152,Actr2,L1,TYPE_I,
ENSMUSG00000034730,Adgrb1,L1,TYPE_I,
ENSMUSG00000031367,Ap1s2,L1,TYPE_I,TYPE_II
ENSMUSG00000019979,Apaf1,L1,TYPE_I,
ENSMUSG00000039285,Azi2,L1,TYPE_I,
ENSMUSG00000042742,Bmt2,L1,TYPE_I,
ENSMUSG00000015733,Capza2,L1,TYPE_I,
ENSMUSG00000033538,Casp4,L1,TYPE_I,TYPE_II
ENSMUSG00000022035,Ccdc25,L1,TYPE_I,TYPE_II
ENSMUSG00000022234,Cct5,L1,,
ENSMUSG00000027035,Cers6,L1,TYPE_I,TYPE_II
ENSMUSG00000056608,Chd9,L1,TYPE_I,TYPE_II
ENSMUSG00000056025,Clca3a1,L1,TYPE_I,
ENSMUSG00000026832,Cytip,L1,TYPE_I,TYPE_II
ENSMUSG00000022864,D16Ertd472e,L1,TYPE_I,TYPE_II
ENSMUSG00000030641,Ddias,L1,TYPE_I,
ENSMUSG00000034480,Diaph2,L1,TYPE_I,
ENSMUSG00000030104,Edem1,L1,TYPE_I,
ENSMUSG00000030619,Eed,L1,TYPE_I,
ENSMUSG00000016087,Fli1,L1,TYPE_I,TYPE_II
ENSMUSG00000000838,Fmr1,L1,TYPE_I,TYPE_II
ENSMUSG00000033487,Fndc3a,L1,TYPE_I,
ENSMUSG00000001773,Folh1,L1,,
ENSMUSG00000026893,Gca,L1,TYPE_I,TYPE_II
ENSMUSG00000002797,Ggct,L1,TYPE_I,TYPE_II
ENSMUSG00000025877,Hk3,L1,TYPE_I,TYPE_II
ENSMUSG00000025630,Hprt,L1,TYPE_I,TYPE_II
ENSMUSG00000023206,Il15ra,L1,TYPE_I,TYPE_II
ENSMUSG00000044701,Il27,L1,TYPE_I,TYPE_II
ENSMUSG00000014543,Klra17,L1,,TYPE_II
ENSMUSG00000000600,Krit1,L1,,
ENSMUSG00000057554,Lgals8,L1,TYPE_I,
ENSMUSG00000007458,M6pr,L1,TYPE_I,
ENSMUSG00000030188,Magohb,L1,TYPE_I,TYPE_II
ENSMUSG00000039456,Morc3,L1,TYPE_I,
ENSMUSG00000024730,Ms4a8a,L1,,
ENSMUSG00000033186,Mzt1,L1,,
ENSMUSG00000042719,Naa25,L1,TYPE_I,TYPE_II
ENSMUSG00000026107,Nabp1,L1,TYPE_I,TYPE_II
ENSMUSG00000020572,Nampt,L1,TYPE_I,TYPE_II
ENSMUSG00000020189,Osbpl8,L1,,TYPE_II
ENSMUSG00000038280,Ostm1,L1,,
ENSMUSG00000021725,Parp8,L1,TYPE_I,TYPE_II
ENSMUSG00000021196,Pfkp,L1,TYPE_I,TYPE_II
ENSMUSG00000032253,Phip,L1,TYPE_I,TYPE_II
ENSMUSG00000027804,Ppid,L1,TYPE_I,TYPE_II
ENSMUSG00000071072,Ptges3,L1,,
ENSMUSG00000033885,Pxk,L1,TYPE_I,
ENSMUSG00000050029,Rap2c,L1,TYPE_I,TYPE_II
ENSMUSG00000041135,Ripk2,L1,TYPE_I,TYPE_II
ENSMUSG00000028098,Rnf115,L1,TYPE_I,
ENSMUSG00000024317,Rnf138,L1,,
ENSMUSG00000039968,Rsbn1l,L1,,
ENSMUSG00000026581,Sell,L1,TYPE_I,TYPE_II
ENSMUSG00000066363,Serpina3f,L1,TYPE_I,TYPE_II
ENSMUSG00000027219,Slc28a2,L1,TYPE_I,TYPE_II
ENSMUSG00000066152,Slc31a2,L1,TYPE_I,TYPE_II
ENSMUSG00000026065,Slc9a4,L1,,
ENSMUSG00000024943,Smc5,L1,TYPE_I,
ENSMUSG00000004359,Spic,L1,TYPE_I,TYPE_II
ENSMUSG00000027882,Stxbp3,L1,TYPE_I,
ENSMUSG00000017548,Suz12,L1,,
ENSMUSG00000037475,Thoc2,L1,TYPE_I,
ENSMUSG00000033088,Triobp,L1,TYPE_I,TYPE_II
ENSMUSG00000035186,Ubd,L1,TYPE_I,TYPE_II
ENSMUSG00000045210,Vcpip1,L1,TYPE_I,TYPE_II
ENSMUSG00000073643,Wdfy1,L1,TYPE_I,TYPE_II
ENSMUSG00000018965,Ywhah,L1,,
ENSMUSG00000034610,Zcchc11,L1,TYPE_I,TYPE_II
ENSMUSG00000028403,Zdhhc21,L1,TYPE_I,TYPE_II
ENSMUSG00000068134,Zfp120,L1,,
ENSMUSG00000039967,Zfp292,L1,TYPE_I,TYPE_II
ENSMUSG00000057409,Zfp53,L1,TYPE_I,
ENSMUSG00000044501,Zfp758,L1,,
ENSMUSG00000039841,Zfp800,L1,TYPE_I,TYPE_II
ENSMUSG00000071267,Zfp942,L1,,
ENSMUSG00000067916,Zfp991,L1,,
ENSMUSG00000026977,Mar-07,L2,TYPE_I,
ENSMUSG00000032712,2810474O19Rik,L2,TYPE_I,
ENSMUSG00000050345,4930486L24Rik,L2,TYPE_I,
ENSMUSG00000018697,Aatf,L2,,
ENSMUSG00000058355,Abce1,L2,TYPE_I,TYPE_II
ENSMUSG00000047368,Abhd17b,L2,,
ENSMUSG00000058835,Abi1,L2,TYPE_I,
ENSMUSG00000025287,Acot9,L2,,
ENSMUSG00000023075,Akirin1,L2,,
ENSMUSG00000024659,Anxa1,L2,TYPE_I,TYPE_II
ENSMUSG00000006304,Arpc2,L2,,
ENSMUSG00000008475,Arpc5,L2,,
ENSMUSG00000037400,Atp11b,L2,TYPE_I,TYPE_II
ENSMUSG00000032412,Atp1b3,L2,TYPE_I,TYPE_II
ENSMUSG00000031007,Atp6ap2,L2,,
ENSMUSG00000035021,Baz1a,L2,TYPE_I,
ENSMUSG00000102037,Bcl2a1a,L2,,
ENSMUSG00000099974,Bcl2a1d,L2,,
ENSMUSG00000037608,Bclaf1,L2,TYPE_I,
ENSMUSG00000022247,Brix1,L2,,TYPE_II
ENSMUSG00000021660,Btf3,L2,,
ENSMUSG00000051223,Bzw1,L2,,
ENSMUSG00000021585,Cast,L2,TYPE_I,
ENSMUSG00000020074,Ccar1,L2,TYPE_I,
ENSMUSG00000018930,Ccl4,L2,TYPE_I,TYPE_II
ENSMUSG00000027829,Ccnl1,L2,TYPE_I,
ENSMUSG00000034024,Cct2,L2,,
ENSMUSG00000001416,Cct3,L2,TYPE_I,TYPE_II
ENSMUSG00000029617,Ccz1,L2,,
ENSMUSG00000023852,Chd1,L2,TYPE_I,
ENSMUSG00000006169,Clint1,L2,TYPE_I,
ENSMUSG00000022125,Cln5,L2,,
ENSMUSG00000028719,Cmpk1,L2,,
ENSMUSG00000057110,Cntrl,L2,TYPE_I,
ENSMUSG00000025917,Cops5,L2,,
ENSMUSG00000027014,Cwc22,L2,TYPE_I,
ENSMUSG00000022300,Dcaf13,L2,,
ENSMUSG00000032002,Dcun1d5,L2,,
ENSMUSG00000020075,Ddx21,L2,TYPE_I,TYPE_II
ENSMUSG00000020664,Dld,L2,,
ENSMUSG00000033554,Dph5,L2,TYPE_I,
ENSMUSG00000028729,Ebna1bp2,L2,,
ENSMUSG00000036499,Eea1,L2,,
ENSMUSG00000057561,Eif1a,L2,TYPE_I,
ENSMUSG00000035150,Eif2s3x,L2,TYPE_I,
ENSMUSG00000001542,Ell2,L2,TYPE_I,TYPE_II
ENSMUSG00000030208,Emp1,L2,TYPE_I,TYPE_II
ENSMUSG00000029377,Ereg,L2,,
ENSMUSG00000024360,Etf1,L2,,
ENSMUSG00000061244,Exoc5,L2,,
ENSMUSG00000027714,Exosc9,L2,,
ENSMUSG00000038646,Fam103a1,L2,,
ENSMUSG00000058503,Fam133b,L2,,
ENSMUSG00000026767,Fam188a,L2,TYPE_I,TYPE_II
ENSMUSG00000037808,Fam76b,L2,TYPE_I,
ENSMUSG00000021243,Fcf1,L2,,TYPE_II
ENSMUSG00000020706,Ftsj3,L2,,TYPE_II
ENSMUSG00000000420,Galnt1,L2,,
ENSMUSG00000026994,Galnt3,L2,TYPE_I,TYPE_II
ENSMUSG00000025059,Gk,L2,,
ENSMUSG00000027823,Gmps,L2,TYPE_I,
ENSMUSG00000000001,Gnai3,L2,,
ENSMUSG00000028869,Gnl2,L2,TYPE_I,
ENSMUSG00000042354,Gnl3,L2,TYPE_I,TYPE_II
ENSMUSG00000037722,Gnpnat1,L2,TYPE_I,
ENSMUSG00000029198,Grpel1,L2,,
ENSMUSG00000067995,Gtf2f2,L2,,
ENSMUSG00000021149,Gtpbp4,L2,TYPE_I,TYPE_II
ENSMUSG00000079555,Haus3,L2,TYPE_I,
ENSMUSG00000021109,Hif1a,L2,,TYPE_II
ENSMUSG00000029328,Hnrnpdl,L2,TYPE_I,
ENSMUSG00000020644,Id2,L2,TYPE_I,TYPE_II
ENSMUSG00000017057,Il13ra1,L2,TYPE_I,TYPE_II
ENSMUSG00000025746,Il6,L2,TYPE_I,TYPE_II
ENSMUSG00000035310,Lin54,L2,,TYPE_II
ENSMUSG00000056260,Lrif1,L2,TYPE_I,
ENSMUSG00000022538,Lsg1,L2,,
ENSMUSG00000020922,Lsm12,L2,,
ENSMUSG00000025779,Ly96,L2,,TYPE_II
ENSMUSG00000035840,Lysmd3,L2,,
ENSMUSG00000028609,Magoh,L2,,
ENSMUSG00000031578,Mak16,L2,TYPE_I,
ENSMUSG00000024513,Mbd2,L2,TYPE_I,
ENSMUSG00000020184,Mdm2,L2,,TYPE_II
ENSMUSG00000021598,Med10,L2,,
ENSMUSG00000020397,Med7,L2,,
ENSMUSG00000026766,Mmadhc,L2,,
ENSMUSG00000038388,Mpp6,L2,,TYPE_II
ENSMUSG00000036850,Mrpl41,L2,,
ENSMUSG00000022255,Mtdh,L2,,
ENSMUSG00000031337,Mtm1,L2,TYPE_I,
ENSMUSG00000063273,Naa15,L2,,
ENSMUSG00000022698,Naa50,L2,,TYPE_II
ENSMUSG00000026234,Ncl,L2,TYPE_I,TYPE_II
ENSMUSG00000028163,Nfkb1,L2,,TYPE_II
ENSMUSG00000022204,Ngdn,L2,,
ENSMUSG00000026377,Nifk,L2,TYPE_I,TYPE_II
ENSMUSG00000022141,Nipbl,L2,,
ENSMUSG00000032525,Nktr,L2,TYPE_I,
ENSMUSG00000027787,Nmd3,L2,,
ENSMUSG00000015176,Nolc1,L2,,TYPE_II
ENSMUSG00000036693,Nop14,L2,TYPE_I,
ENSMUSG00000034826,Nup54,L2,TYPE_I,
ENSMUSG00000058755,Osm,L2,TYPE_I,TYPE_II
ENSMUSG00000024725,Ostf1,L2,,
ENSMUSG00000022283,Pabpc1,L2,TYPE_I,TYPE_II
ENSMUSG00000038683,Pak1ip1,L2,,
ENSMUSG00000042167,Papd4,L2,TYPE_I,
ENSMUSG00000027835,Pdcd10,L2,TYPE_I,TYPE_II
ENSMUSG00000043702,Pde12,L2,TYPE_I,
ENSMUSG00000029171,Pgm1,L2,,
ENSMUSG00000072501,Phf20l1,L2,TYPE_I,
ENSMUSG00000039361,Picalm,L2,,
ENSMUSG00000028577,Plaa,L2,,
ENSMUSG00000035818,Plekhs1,L2,,
ENSMUSG00000028318,Polr1e,L2,TYPE_I,TYPE_II
ENSMUSG00000035597,Prpf39,L2,TYPE_I,
ENSMUSG00000061136,Prpf40a,L2,,
ENSMUSG00000021024,Psma6,L2,TYPE_I,
ENSMUSG00000021178,Psmc1,L2,,
ENSMUSG00000026229,Psmd1,L2,TYPE_I,TYPE_II
ENSMUSG00000020720,Psmd12,L2,TYPE_I,
ENSMUSG00000021737,Psmd6,L2,TYPE_I,
ENSMUSG00000039067,Psmd7,L2,TYPE_I,
ENSMUSG00000028382,Ptbp3,L2,,
ENSMUSG00000032487,Ptgs2,L2,TYPE_I,TYPE_II
ENSMUSG00000024539,Ptpn2,L2,TYPE_I,TYPE_II
ENSMUSG00000027832,Ptx3,L2,TYPE_I,
ENSMUSG00000036943,Rab8b,L2,TYPE_I,
ENSMUSG00000004451,Ralb,L2,,
ENSMUSG00000068798,Rap1a,L2,TYPE_I,
ENSMUSG00000052681,Rap1b,L2,,
ENSMUSG00000032413,Rasa2,L2,TYPE_I,
ENSMUSG00000037197,Rbm17,L2,,
ENSMUSG00000010608,Rbm25,L2,TYPE_I,
ENSMUSG00000022119,Rbm26,L2,TYPE_I,
ENSMUSG00000033931,Rbm34,L2,,
ENSMUSG00000027620,Rbm39,L2,TYPE_I,
ENSMUSG00000042396,Rbm7,L2,,
ENSMUSG00000026970,Rbms1,L2,TYPE_I,
ENSMUSG00000020275,Rel,L2,TYPE_I,TYPE_II
ENSMUSG00000021428,Riok1,L2,TYPE_I,
ENSMUSG00000017144,Rnd3,L2,TYPE_I,TYPE_II
ENSMUSG00000001305,Rrp15,L2,TYPE_I,
ENSMUSG00000022876,Samsn1,L2,TYPE_I,TYPE_II
ENSMUSG00000025283,Sat1,L2,TYPE_I,TYPE_II
ENSMUSG00000029415,Sdad1,L2,TYPE_I,TYPE_II
ENSMUSG00000028249,Sdcbp,L2,,
