Gene,Gene name,Module,Type I,Type II,Control count,Case count
ENSMUSG00000078572,1810043H04Rik,B1,TYPE_I ,TYPE_II ,192.5185829,251.1843903
ENSMUSG00000021290,2010107E04Rik,B1,,,1305.960657,1690.942771
ENSMUSG00000003346,Abhd17a,B1,,,1573.068813,1499.981352
ENSMUSG00000074873,AI606181,B1,TYPE_I,TYPE_II,515.5016081,256.3323862
ENSMUSG00000020955,Ap4s1,B1,,,379.2058143,507.1642813
ENSMUSG00000016252,Atp5e,B1,,,2351.997965,3731.076592
ENSMUSG00000038690,Atp5j2,B1,,,1610.763944,3647.578042
ENSMUSG00000038717,Atp5l,B1,,,3042.53479,5016.65212
ENSMUSG00000039294,BC017643,B1,,,3262.446286,3640.853137
ENSMUSG00000057506,Bloc1s2,B1,TYPE_I,,691.1483149,957.8277854
ENSMUSG00000029836,Cbx3,B1,,,767.5882874,999.0696609
ENSMUSG00000034563,Ccpg1,B1,TYPE_I,,191.4166334,191.7556067
ENSMUSG00000028076,Cd1d1,B1,TYPE_I,TYPE_II,665.1289518,909.1022927
ENSMUSG00000070493,Chchd2,B1,TYPE_I,TYPE_II,1779.386471,3097.202995
ENSMUSG00000001017,Chtop,B1,,,2421.364589,2017.168222
ENSMUSG00000030057,Cnbp,B1,,,5854.951353,4794.143188
ENSMUSG00000032299,Commd4,B1,TYPE_I,TYPE_II,1114.222046,1141.717446
ENSMUSG00000023020,Cox14,B1,TYPE_I,,586.2891329,901.66781
ENSMUSG00000047044,D030056L22Rik,B1,,,413.4707747,474.5387377
ENSMUSG00000042737,Dpm3,B1,TYPE_I,,468.9225142,536.1407874
ENSMUSG00000096255,Dynlt1b,B1,,,68.85592144,119.9053086
ENSMUSG00000025967,Eef1b2,B1,,,11601.31763,12720.14394
ENSMUSG00000031029,Eif3f,B1,,,8010.521227,9077.701867
ENSMUSG00000004268,Emg1,B1,,,1955.09977,2453.277101
ENSMUSG00000038274,Fau,B1,,TYPE_II,19420.53573,20659.68278
ENSMUSG00000044709,Gemin7,B1,,,1051.226107,1005.388854
ENSMUSG00000060019,Gm10073,B1,,,1046.543765,1189.421449
ENSMUSG00000069117,Gm10260,B1,,,45.96752076,63.22836711
ENSMUSG00000066407,Gm10263,B1,,,1523.349723,978.6330417
ENSMUSG00000069899,Gm12166,B1,,,48.18197297,49.79732114
ENSMUSG00000074754,Gm561,B1,,TYPE_II,95.38373276,72.17018079
ENSMUSG00000049124,Gm8186,B1,,,184.9159695,253.1409208
ENSMUSG00000044424,Gm9493,B1,,,177.3693266,199.5032842
ENSMUSG00000020444,Guk1,B1,,,479.9451949,418.202876
ENSMUSG00000022554,Hgh1,B1,TYPE_I,,331.7535128,287.7220403
ENSMUSG00000022702,Hira,B1,TYPE_I,TYPE_II,236.820666,216.3634334
ENSMUSG00000007836,Hnrnpa0,B1,TYPE_I,,3136.513628,3157.796586
ENSMUSG00000090000,Ier3ip1,B1,,,278.1522442,318.847568
ENSMUSG00000064215,Ifi27,B1,,,2533.234894,3259.197384
ENSMUSG00000027937,Jtb,B1,TYPE_I,TYPE_II,947.4672667,661.0973663
ENSMUSG00000025893,Kbtbd3,B1,,,76.6289196,55.47181204
ENSMUSG00000035202,Lars2,B1,,,196371.2344,208134.4025
ENSMUSG00000032184,Lysmd2,B1,TYPE_I,,89.88888561,177.3995783
ENSMUSG00000048755,Mcat,B1,TYPE_I,,305.699037,267.1232809
ENSMUSG00000015804,Med28,B1,,,1054.562781,1573.650603
ENSMUSG00000090266,Mettl23,B1,,,833.0123121,780.0803081
ENSMUSG00000048222,Mfap1b,B1,,,275.1770593,216.2705054
ENSMUSG00000020346,Mgat1,B1,,,3163.856958,2389.781491
ENSMUSG00000018405,Mrm1,B1,TYPE_I,TYPE_II,437.6801328,221.6188808
ENSMUSG00000058267,Mrps14,B1,TYPE_I,TYPE_II,378.6285972,605.2062573
ENSMUSG00000005667,Mthfd2,B1,,TYPE_II,748.3724449,1374.249754
ENSMUSG00000073616,Myeov2,B1,TYPE_I,TYPE_II,522.7270682,1027.639168
ENSMUSG00000014294,Ndufa2,B1,,,1284.674826,1871.78993
ENSMUSG00000035674,Ndufa3,B1,,,2061.207297,2995.68181
ENSMUSG00000029632,Ndufa4,B1,,,1910.769657,3386.124716
ENSMUSG00000031059,Ndufb11,B1,,,2016.061181,2820.039811
ENSMUSG00000071078,Nr2c2ap,B1,,,368.9083604,443.4451693
ENSMUSG00000022516,Nudt16l1,B1,,,731.3683542,970.8276498
ENSMUSG00000026097,Ormdl1,B1,,,354.5964035,419.1484643
ENSMUSG00000040618,Pck2,B1,,,1640.553084,1973.58358
ENSMUSG00000051007,Pddc1,B1,TYPE_I,TYPE_II,898.7794162,637.6052704
ENSMUSG00000005069,Pex5,B1,,TYPE_II,747.901879,550.8715141
ENSMUSG00000022940,Pigp,B1,,,186.8315817,97.07037118
ENSMUSG00000030042,Pole4,B1,,,806.7199334,802.8110148
ENSMUSG00000071662,Polr2g,B1,TYPE_I,,873.1686201,1168.567614
ENSMUSG00000038628,Polr3k,B1,,TYPE_II,438.2728282,576.8354586
ENSMUSG00000029725,Ppp1r35,B1,TYPE_I,,406.8955774,601.0158728
ENSMUSG00000024997,Prdx3,B1,,,1049.049499,1148.382453
ENSMUSG00000003380,Rabac1,B1,,,2453.179469,1969.173382
ENSMUSG00000020372,Rack1,B1,,,27423.04929,32645.28668
ENSMUSG00000068798,Rap1a,B1,,,2448.673491,2963.845033
ENSMUSG00000057236,Rbbp4,B1,TYPE_I,,2910.656112,3121.076269
ENSMUSG00000089824,Rbm12,B1,,,333.3983866,367.0814981
ENSMUSG00000022400,Rbx1,B1,TYPE_I,,944.4887696,1527.545716
ENSMUSG00000010362,Rdm1,B1,,,402.5561054,624.1819248
ENSMUSG00000008682,Rpl10,B1,TYPE_I,TYPE_II,14982.10312,19441.29949
ENSMUSG00000037805,Rpl10a,B1,,,14505.30437,16068.89465
ENSMUSG00000038900,Rpl12,B1,TYPE_I,,20655.82387,16964.08308
ENSMUSG00000000740,Rpl13,B1,,TYPE_II,21580.85675,23551.42345
ENSMUSG00000025794,Rpl14,B1,,,8136.118775,9818.954458
ENSMUSG00000012405,Rpl15,B1,TYPE_I,,3299.213222,3802.283671
ENSMUSG00000059070,Rpl18,B1,,,16886.88839,20167.89341
ENSMUSG00000041453,Rpl21,B1,,,6488.280382,6498.749441
ENSMUSG00000028936,Rpl22,B1,TYPE_I,,6293.525235,5646.259977
ENSMUSG00000039221,Rpl22l1,B1,TYPE_I,,1164.014586,1045.421678
ENSMUSG00000058546,Rpl23a,B1,TYPE_I,,6114.217138,6700.392081
ENSMUSG00000078126,Rpl23a-ps3,B1,,,1769.001808,2259.463697
ENSMUSG00000098274,Rpl24,B1,,,83.82808228,97.56451865
ENSMUSG00000060938,Rpl26,B1,,,11952.18528,12212.58589
ENSMUSG00000063316,Rpl27,B1,,,6527.226681,8427.194319
ENSMUSG00000060036,Rpl3,B1,,,17002.05291,20341.68709
ENSMUSG00000073702,Rpl31,B1,TYPE_I,,11124.28312,14888.24702
ENSMUSG00000057841,Rpl32,B1,,,15842.79216,18539.08647
ENSMUSG00000062006,Rpl34,B1,,,7525.666622,7879.306369
ENSMUSG00000060636,Rpl35a,B1,,,6083.179229,5145.268343
ENSMUSG00000057863,Rpl36,B1,TYPE_I,,5941.360042,7316.32626
ENSMUSG00000079435,Rpl36a,B1,TYPE_I,,6528.029333,6933.763914
ENSMUSG00000041841,Rpl37,B1,,,8159.845668,9224.437272
ENSMUSG00000046330,Rpl37a,B1,,,17266.68361,13713.24859
ENSMUSG00000057322,Rpl38,B1,,,6497.157549,5831.197024
ENSMUSG00000079641,Rpl39,B1,,,8610.44251,8274.845198
ENSMUSG00000058558,Rpl5,B1,TYPE_I,,25606.27759,21831.0541
ENSMUSG00000029614,Rpl6,B1,TYPE_I,,12296.21389,16564.83309
ENSMUSG00000043716,Rpl7,B1,,,24878.68048,26240.58687
ENSMUSG00000003970,Rpl8,B1,,,25446.49427,29021.16657
ENSMUSG00000047215,Rpl9,B1,TYPE_I,,9885.637603,8918.324643
ENSMUSG00000067274,Rplp0,B1,,,73195.24431,98862.557
ENSMUSG00000007892,Rplp1,B1,,,44968.20354,52252.13648
ENSMUSG00000025508,Rplp2,B1,,,36808.50953,35644.98456
ENSMUSG00000036114,Rpp25l,B1,,,307.1582435,471.6384364
ENSMUSG00000052146,Rps10,B1,,,13391.21977,13409.51881
ENSMUSG00000003429,Rps11,B1,,,14755.52463,18521.30366
ENSMUSG00000061983,Rps12,B1,,,13540.51671,15358.25362
ENSMUSG00000090862,Rps13,B1,,,9531.649065,9771.954878
ENSMUSG00000024608,Rps14,B1,,,18830.52107,17412.97258
ENSMUSG00000063457,Rps15,B1,,,22639.71678,25996.72109
ENSMUSG00000008683,Rps15a,B1,,,13356.39484,13404.84658
ENSMUSG00000037563,Rps16,B1,,,24079.6386,21569.43397
ENSMUSG00000061787,Rps17,B1,,,8128.554661,10196.40782
ENSMUSG00000008668,Rps18,B1,,,15681.01064,15048.39292
ENSMUSG00000040952,Rps19,B1,,,13551.10665,13109.96437
ENSMUSG00000044533,Rps2,B1,,,12813.09428,17651.38028
ENSMUSG00000028234,Rps20,B1,,,14504.69156,14604.87805
ENSMUSG00000039001,Rps21,B1,TYPE_I,,8065.32014,7164.342881
ENSMUSG00000049517,Rps23,B1,,,12766.23781,11998.60039
ENSMUSG00000009927,Rps25,B1,,,9244.290941,9587.421281
ENSMUSG00000090733,Rps27,B1,,,21738.18737,14025.57854
ENSMUSG00000020460,Rps27a,B1,,,8556.790862,8437.666516
ENSMUSG00000067288,Rps28,B1,TYPE_I,,6170.959812,5219.585666
ENSMUSG00000034892,Rps29,B1,,,37338.63586,31145.89889
ENSMUSG00000028081,Rps3a1,B1,,,28281.51714,21905.93795
ENSMUSG00000031320,Rps4x,B1,,,25674.6548,26793.6043
ENSMUSG00000012848,Rps5,B1,,,21416.04844,23434.50534
ENSMUSG00000061477,Rps7,B1,,,15264.81001,13120.31434
ENSMUSG00000047675,Rps8,B1,,,15118.77921,15229.60316
ENSMUSG00000006333,Rps9,B1,,,40608.06786,41007.09789
ENSMUSG00000002064,Sdf2,B1,TYPE_I,TYPE_II,850.9842716,1163.4227
ENSMUSG00000026154,Sdhaf4,B1,,,138.8895399,178.440165
ENSMUSG00000024516,Sec11c,B1,,,2635.135189,3267.311772
ENSMUSG00000036309,Skp1a,B1,TYPE_I,,1623.287666,2074.607458
