Module,ANNOTATION
L1,Miscellaneous
L2,"Inflammation/
Metabolism"
L3,"Leukocytes/Myeloid/
Signaling/Il10"
L4,"Protein translation/
Ubiquitination"
L5,Type I IFN/Ifit/Oas
L6,Cell cycle/Stem cells/Chemokine receptors
L7,"Ifng/Stat1/Gbp/
Antigen presentation"
L8,Glycolysis
L9,Ribosomal functions/Other
L10,Myeloid/Granulocyte function
L11,"IL-17 pathway/
Granulocytes"
L12,Inflammation/IL-1 signaling/Myeloid cells
L13,Myeloid cells/Il1b/Tnf
L14,Myeloid cells and signaling
L15,Myeloid cells/Other signaling
L16,Ribosomal & metabolic process
L17,"Miscellaneous/
Glucucorticoid receptor/Signaling"
L18,"Diverse signaling/Mapk/
Cytoskeleton"
L19,Diverse signaling
L20,Miscellaneous signaling/Other
L21,Miscellaneous
L22,Calcium/Cytoskeleton signaling
L23,Membrane molecules/Metabolism
L24,Diverse signaling
L25,Immunoglobulin h/k enriched
L26,Allergy
L27,"Diverse/
Transmembrane/
Solute carrier/Wnt signaling"
L28,Diverse intracellular signaling
L29,"Cilium organization/
Signaling"
L30,Cilia/Microtubule formation
L31,"Cilia/Microtubule/
Inflammation"
L32,Diverse intracellular signaling
L33,Diverse intracellular signaling
L34,Potassium channel/Transporters/Drug metabolism
L35,"Cytotoxic/T cells/NK/Tbx21/
Eomes/B cells"
L36,"NK cells/Leukocytes/
Cytotoxic"
L37,B & T cells/Myeloid cells
L38,"Apolipoproteins/
Protease inhibitors"
