Gene	Gene name
ENSMUSG00000078572	1810043H04Rik
ENSMUSG00000021290	2010107E04Rik
ENSMUSG00000003346	Abhd17a
ENSMUSG00000074873	AI606181
ENSMUSG00000020955	Ap4s1
ENSMUSG00000016252	Atp5e
ENSMUSG00000038690	Atp5j2
ENSMUSG00000038717	Atp5l
ENSMUSG00000039294	BC017643
ENSMUSG00000057506	Bloc1s2
ENSMUSG00000029836	Cbx3
ENSMUSG00000034563	Ccpg1
ENSMUSG00000028076	Cd1d1
ENSMUSG00000070493	Chchd2
ENSMUSG00000001017	Chtop
ENSMUSG00000030057	Cnbp
ENSMUSG00000032299	Commd4
ENSMUSG00000023020	Cox14
ENSMUSG00000047044	D030056L22Rik
ENSMUSG00000042737	Dpm3
ENSMUSG00000096255	Dynlt1b
ENSMUSG00000025967	Eef1b2
ENSMUSG00000031029	Eif3f
ENSMUSG00000004268	Emg1
ENSMUSG00000038274	Fau
ENSMUSG00000044709	Gemin7
ENSMUSG00000060019	Gm10073
ENSMUSG00000069117	Gm10260
ENSMUSG00000066407	Gm10263
ENSMUSG00000069899	Gm12166
ENSMUSG00000074754	Gm561
ENSMUSG00000049124	Gm8186
ENSMUSG00000044424	Gm9493
ENSMUSG00000020444	Guk1
ENSMUSG00000022554	Hgh1
ENSMUSG00000022702	Hira
ENSMUSG00000007836	Hnrnpa0
ENSMUSG00000090000	Ier3ip1
ENSMUSG00000064215	Ifi27
ENSMUSG00000027937	Jtb
ENSMUSG00000025893	Kbtbd3
ENSMUSG00000035202	Lars2
ENSMUSG00000032184	Lysmd2
ENSMUSG00000048755	Mcat
ENSMUSG00000015804	Med28
ENSMUSG00000090266	Mettl23
ENSMUSG00000048222	Mfap1b
ENSMUSG00000020346	Mgat1
ENSMUSG00000018405	Mrm1
ENSMUSG00000058267	Mrps14
ENSMUSG00000005667	Mthfd2
ENSMUSG00000073616	Myeov2
ENSMUSG00000014294	Ndufa2
ENSMUSG00000035674	Ndufa3
ENSMUSG00000029632	Ndufa4
ENSMUSG00000031059	Ndufb11
ENSMUSG00000071078	Nr2c2ap
ENSMUSG00000022516	Nudt16l1
ENSMUSG00000026097	Ormdl1
ENSMUSG00000040618	Pck2
ENSMUSG00000051007	Pddc1
ENSMUSG00000005069	Pex5
ENSMUSG00000022940	Pigp
ENSMUSG00000030042	Pole4
ENSMUSG00000071662	Polr2g
ENSMUSG00000038628	Polr3k
ENSMUSG00000029725	Ppp1r35
ENSMUSG00000024997	Prdx3
ENSMUSG00000003380	Rabac1
