baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	direction
Gbp5	6812.67205085503	-5.31093825147071	0.31141617249468	-17.0541504281106	3.25572008285268e-65	7.17690935064044e-61	Downregulated
Fech	169435.513619564	6.97679252659205	0.434375525764312	16.0616611958418	4.73693009341334e-58	5.22104434896018e-54	Upregulated
Nxpe2	2488.60149370164	6.45763008593297	0.404298011344435	15.9724507782243	1.98817981903693e-57	1.46091453102833e-53	Upregulated
Gm4129	447.884225106219	5.47768574958309	0.348681249193025	15.7097227403551	1.29745282566876e-55	7.15026252226055e-52	Upregulated
Cdr2	36380.9008560016	7.01456979593102	0.456313942161438	15.372245175558	2.51307259432772e-53	1.10796344538721e-49	Upregulated
Isca1	76373.5986948734	6.61546839598784	0.443604395027219	14.912991102313	2.71320819481825e-50	9.96832690776225e-47	Upregulated
Epb41	417975.313986778	6.63135974730979	0.447123452133351	14.8311606462817	9.21261884382805e-50	2.90118528276208e-46	Upregulated
Tent5c	195807.142776617	6.88067732163268	0.468949238111846	14.6725418498102	9.66552950755261e-49	2.66333665580612e-45	Upregulated
Tmod1	5034.87775326566	7.5834290962037	0.518773859658754	14.6179861514071	2.15686246670694e-48	5.28287513512087e-45	Upregulated
Gm20161	775.451251951847	7.91762094632973	0.546894824301022	14.4774106364037	1.68319474096468e-47	3.71043448698255e-44	Upregulated
Psme3	62478.5755191314	4.42597707356158	0.315605299752491	14.0237729753987	1.11524360557976e-44	2.23494818558184e-41	Upregulated
Dcaf12	25360.6089554412	4.24219653491912	0.306459224205645	13.8426133065991	1.40986223238705e-43	2.58991692089501e-40	Upregulated
Alas2	1723013.79506957	7.57406971180376	0.55305373416231	13.6949978708234	1.08763542755001e-42	1.84429502807018e-39	Upregulated
Bpgm	597581.251850327	7.16309931003166	0.523423569880261	13.6850912381922	1.2465059074851e-42	1.96271258747153e-39	Upregulated
Slc48a1	47668.0544637847	5.12169047960688	0.37618307451455	13.6148881398139	3.26645483993262e-42	4.80038203276498e-39	Upregulated
Scarf1	755.758775058462	-5.50212812104029	0.407741654589183	-13.4941526309936	1.69290349508562e-41	2.33239779035421e-38	Downregulated
Tspan33	5257.63482598465	6.32835871738919	0.470333652477364	13.4550412968669	2.87578602286363e-41	3.72904865223564e-38	Upregulated
Tfdp2	27733.3307111661	5.96475526836473	0.452121925444622	13.1928025001197	9.65288516991814e-40	1.18215667047597e-36	Upregulated
AK157302	404.120086276972	6.86934799676719	0.521926914753632	13.1615132360242	1.46129531722812e-39	1.69541020910403e-36	Upregulated
F930017D23Rik	3482.86929204899	6.74087150052494	0.513178387182449	13.1355327287553	2.06036313257475e-39	2.27093224472389e-36	Upregulated
Wars1	2825.51873341533	-2.37263563938764	0.181499979302585	-13.0723741595151	4.73638622524477e-39	4.9718522832998e-36	Downregulated
Ccndbp1	53594.4164652924	4.88543946742307	0.374273137275621	13.0531394878745	6.09816552057771e-39	6.11036185161887e-36	Upregulated
Gm10371	6918.02886438138	7.06451281780611	0.542478817308941	13.0226519310944	9.09562220952648e-39	8.71756069507834e-36	Upregulated
Slc25a39	131849.280107	6.16076348589436	0.473440635436562	13.0127475860062	1.03550789987519e-38	9.51114006035358e-36	Upregulated
Lars2	165185.687211587	4.03074924852595	0.312264910699625	12.9081081812718	4.05132465347394e-38	3.57229602644718e-35	Upregulated
Cdkl1	454.104970372169	8.51854401854752	0.660290963341579	12.9011973379692	4.43157574809344e-38	3.75729445349892e-35	Upregulated
Irf1	8445.34116862574	-2.2282601748306	0.173331339432779	-12.8554950427459	8.01113472763336e-38	6.54064644207221e-35	Downregulated
Spta1	12648.4972827558	7.66144732799249	0.599411354823634	12.7816186102226	2.07701490563876e-37	1.63520416356789e-34	Upregulated
Slc25a37	81449.3022592725	5.17134051356815	0.40484581318054	12.7736050249382	2.30238583381733e-37	1.75013080416101e-34	Upregulated
Epb42	8049.79899709864	7.80846810914017	0.614083029907535	12.7156552597064	4.84034931997567e-37	3.55668868031812e-34	Upregulated
Gm57318	1470.18749011153	7.57798712674842	0.60331820204535	12.5605146688062	3.4806130431588e-36	2.47505270720621e-33	Upregulated
Sh3glb1	79463.4797551947	4.13242459869194	0.329481736247232	12.5421962557315	4.38667205026867e-36	3.02186870862883e-33	Upregulated
Scd1	4964.13050456075	3.84691014643458	0.308394234893405	12.4740014928108	1.03495412503521e-35	6.91349355523519e-33	Upregulated
Ifi206	1565.35068596867	-2.39564867719348	0.192530401764757	-12.4429630605591	1.52731164673796e-35	9.90236998255637e-33	Downregulated
Fam117a	17945.6841523622	4.89894621963938	0.394086992640603	12.4311289413886	1.77115199447387e-35	1.11552213046234e-32	Upregulated
Bnip3l	107472.210073099	4.89485873318088	0.394781414334921	12.398908751637	2.64906585405856e-35	1.62211132463519e-32	Upregulated
Acmsd	1030.99668138813	9.49008599159107	0.767153726740084	12.3705140975042	3.77398103263099e-35	2.24847669954913e-32	Upregulated
Cd24a	80033.3596840425	5.65327286880942	0.459094917256188	12.3139522053448	7.61983714244167e-35	4.42030763073642e-32	Upregulated
Gm64405	551.352185758473	7.19901090391432	0.586720484865673	12.2699157258204	1.31390028649482e-34	7.42656869627997e-32	Upregulated
Ube2l6	349697.432841753	5.63410200589286	0.466706500409022	12.0720452810388	1.48399491274109e-33	8.17829596411616e-31	Upregulated
Slfn8	2066.88593157249	-2.97032536887884	0.246854021837399	-12.0327201751461	2.39149416332161e-33	1.28580725210394e-30	Downregulated
Gstm5	2094.22746968826	6.56554090077576	0.546337760292445	12.0173661385977	2.88005979311591e-33	1.50450596423978e-30	Upregulated
Ppp1cb	39926.3620146322	3.82602470864141	0.318415848677658	12.0158111618201	2.93475578217703e-33	1.50450596423978e-30	Upregulated
Bola3	7409.77389117033	4.76898589372114	0.397721171771717	11.9907770372819	3.97161896381304e-33	1.98978110087033e-30	Upregulated
Hagh	21247.9322952487	5.53087541620306	0.462140821306206	11.9679438846593	5.23088633470289e-33	2.56243685249312e-30	Upregulated
Aqp9	926.624840413576	3.30870933725676	0.277296419895699	11.9320304910582	8.05835910001598e-33	3.86170582610331e-30	Upregulated
Gm15564	12320.034337035	4.33003046022028	0.363537353757209	11.9108268117948	1.03941435456742e-32	4.87507447491155e-30	Upregulated
Specc1	34114.657753402	5.50444098231977	0.462264127119508	11.9075668203359	1.0808538390161e-32	4.93682091970811e-30	Upregulated
Syngr1	360.299291746884	7.21198936267566	0.605728744990241	11.9063019913177	1.09736991955043e-32	4.93682091970811e-30	Upregulated
Cecr2	297.976281659451	4.90100540713908	0.41295484772411	11.868138693975	1.73279965553228e-32	7.63956712131071e-30	Upregulated
Adipor1	81280.7594668631	4.42829099219922	0.375643970384843	11.7885320711057	4.47268759267119e-32	1.93325343711458e-29	Upregulated
Ank1	7635.22217694551	7.11760088601907	0.605811356149549	11.7488733312256	7.15666619141926e-32	3.03387595237781e-29	Upregulated
Slc4a1	80478.9719116573	7.73595283739297	0.658808648547488	11.7423364955042	7.73203502210228e-32	3.21594301938156e-29	Upregulated
Cpne8	137.340034122022	6.24663811575736	0.535622922481688	11.6623801065402	1.98417162796668e-31	8.09982951238841e-29	Upregulated
Psmb10	3033.49277357573	-2.68528713112318	0.230370930344383	-11.6563627498874	2.1294609565448e-31	8.53487951383156e-29	Downregulated
Gm61064	1337.29589955157	6.98334607569242	0.602116318115572	11.5980016910155	4.2181273153285e-31	1.66043568819824e-28	Upregulated
Iigp1	7493.57935425853	-5.20042415839432	0.449150067956346	-11.5783666293462	5.3047149355161e-31	2.05152870243012e-28	Downregulated
Dhrs11	18383.5537528242	5.61943069444179	0.487583594824159	11.5250610440829	9.8642264542951e-31	3.74908634411175e-28	Upregulated
Hba-a2	16406.5016609898	7.95279299198953	0.695177140168043	11.4399518230233	2.64032105990583e-30	9.86495549907865e-28	Upregulated
Mkrn1	224789.82036628	5.08368958732609	0.445128661524854	11.4207195059315	3.29494708594873e-30	1.21056355937756e-27	Upregulated
Hbq1b	3441.17273515631	6.56462183710136	0.57508696708303	11.4150071430041	3.5187506308236e-30	1.27159571976845e-27	Upregulated
Trf	4957.58763186884	3.9837710474042	0.349353539048383	11.4032651801832	4.02725732237557e-30	1.43188484539431e-27	Upregulated
Add2	1488.31121305729	7.78644537369509	0.684024051429379	11.3832917971584	5.0651054350632e-30	1.7723045112783e-27	Upregulated
Tapbpl	1425.08359709158	-2.70510127165089	0.237738002098537	-11.3784975383519	5.35137157106536e-30	1.84321304550883e-27	Downregulated
Stat2	3938.54502931518	-2.27819628706746	0.20026826851091	-11.3757226943985	5.52433494408551e-30	1.87351445396032e-27	Downregulated
Batf2	1364.38657180464	-6.49699252536022	0.576040502508586	-11.2787078288187	1.6718357351582e-29	5.58393135542839e-27	Downregulated
Prxl2a	67005.7876868281	6.83191147305092	0.606997462920216	11.2552554012057	2.18193103914093e-29	7.17887878012278e-27	Upregulated
Iigp1c	1332.64670988201	-5.51631758705413	0.491566278683999	-11.2219202704917	3.18283083690695e-29	1.0317988671879e-26	Downregulated
Riok3	29236.8743844586	3.63156960728996	0.324931146442273	11.176428135784	5.31878615159464e-29	1.69923654964858e-26	Upregulated
Isg20	143644.305144162	5.96714688389467	0.535051719651187	11.1524674433058	6.9647801383253e-29	2.19330876241776e-26	Upregulated
Rec114	3682.95853654059	6.26001955706089	0.564588423514249	11.0877575528307	1.43848557426827e-28	4.46619380269996e-26	Upregulated
Ube2o	112151.26240765	5.96267575305716	0.540190131865657	11.0381056619154	2.50253438643938e-28	7.66192611314858e-26	Upregulated
Gm58727	556.805073537604	6.98783615670633	0.63318795968047	11.0359586752607	2.56303419576765e-28	7.73966107006879e-26	Upregulated
Sec61g	20201.7410094104	4.31472109621351	0.391471020191769	11.0218148308906	2.99949762121243e-28	8.93526021108199e-26	Upregulated
Ube2r2	51979.314618986	4.0502074968507	0.370136329530649	10.9424749037376	7.22015735957953e-28	2.12214865112762e-25	Upregulated
Paqr9	6798.85676705122	6.6756976197888	0.610604108605193	10.9329392411691	8.02075732136497e-28	2.32644176831802e-25	Upregulated
Rnf10	120992.653120494	4.76674094749112	0.436838316070869	10.9119112773015	1.01107925287642e-27	2.89457546109193e-25	Upregulated
Ctse	8097.47123184713	5.00157090362257	0.458875167032665	10.8996329785406	1.15723128308272e-27	3.27051364157379e-25	Upregulated
Irgm1	5207.60608602225	-3.01625683337721	0.276775467766691	-10.8978474780134	1.18016140251116e-27	3.29309847556405e-25	Downregulated
Gbp2	21494.4959882173	-4.96825275053612	0.459592506494696	-10.8101256663841	3.08247512389198e-27	8.49376020388434e-25	Downregulated
Serpina3g	4594.2074853339	-4.13080943876343	0.382899672269951	-10.7882292358065	3.91255478657772e-27	1.0647945396953e-24	Downregulated
Gm74252	141.450107198628	6.75752063890918	0.62678087704586	10.7813127145147	4.21822489366519e-27	1.13398231165799e-24	Upregulated
Evl	3979.83832344275	-1.86052103267923	0.172873689731078	-10.7623145868724	5.1851211704418e-27	1.37711820579782e-24	Downregulated
Gm59243	320.618507275317	7.62242257047397	0.7092537213573	10.7471026812336	6.11523869245805e-27	1.60481335400649e-24	Upregulated
Ptp4a3	22578.9546047309	4.22190671622172	0.397822886892101	10.6125284776961	2.60599741356677e-26	6.75842435113716e-24	Upregulated
Ghitm	69892.1377463232	4.19233473795444	0.396500832765371	10.5733314825981	3.96166194092153e-26	1.01547530029854e-23	Upregulated
Mkrn1-ps1	139.323319408876	5.51110965171453	0.524163832531628	10.5140975200382	7.43895781609814e-26	1.88487800112721e-23	Upregulated
Gm75556	60971.2892539287	4.18356118511711	0.399221683951333	10.4792934685058	1.07544151793417e-25	2.6939810024251e-23	Upregulated
Mertk	1886.74412097675	-3.05244597853362	0.291354772638533	-10.4767323730118	1.10495725008802e-25	2.736817710218e-23	Downregulated
Rn18s-rs5	2436953.40164261	3.92436295038475	0.376795756564985	10.4150932753616	2.11590069004911e-25	5.18254609016029e-23	Upregulated
Fundc2	4735.71833163699	3.24145017627177	0.311409281371956	10.4089709914589	2.25647445326692e-25	5.46612338986989e-23	Upregulated
Gm28723	245.670088681018	7.39147468689702	0.714134937529451	10.3502493694929	4.17397209021307e-25	1.00012000822453e-22	Upregulated
Ncoa4	16934.8608472554	4.38599170805629	0.426261928841674	10.2894286617968	7.86416061734821e-25	1.86405974891208e-22	Upregulated
Col5a1	629.300263347719	7.27469413798154	0.707411686809795	10.2835368338176	8.36021730471506e-25	1.96055989643765e-22	Upregulated
Nampt	6290.63131527242	-2.55985140087244	0.24919819373443	-10.2723513461757	9.3887939465598e-25	2.17859551324173e-22	Downregulated
Tnk2os	219.324140288643	6.81260038307887	0.663449609121903	10.2684518754869	9.77608185560692e-25	2.24483279609374e-22	Upregulated
Ncoa4-ps	2771.1391879921	4.25168325144811	0.415942419172947	10.2218072874175	1.58360438723861e-24	3.59886341363793e-22	Upregulated
Iscu	19830.7004054438	3.89524870494373	0.381798837489868	10.202358735697	1.9351470336437e-24	4.35289604180017e-22	Upregulated
Memo1	6612.41885348632	4.0668302218779	0.400273036430239	10.1601403335762	2.98646281917737e-24	6.6498572107016e-22	Upregulated
Rfx2	1944.71922118147	4.23907368015303	0.417365379833616	10.1567448690712	3.09228524917143e-24	6.81663360327351e-22	Upregulated
Dnase1l3	1011.81613858184	-4.12278628256511	0.407954052123849	-10.1060064512204	5.19592813951741e-24	1.13404990007447e-21	Downregulated
Mir6236	8813.30811848945	4.05537707313656	0.401674847650075	10.0961688212787	5.74426365601121e-24	1.24143674542266e-21	Upregulated
Gabarapl2	15326.4555006444	4.52920979076226	0.449204037300556	10.0827450660953	6.58599657679512e-24	1.40483913323643e-21	Upregulated
Phf11d	576.693597061588	-3.67296292416387	0.364304497055442	-10.0821234814592	6.62780211652099e-24	1.40483913323643e-21	Downregulated
Dtx3l	3746.63624637855	-1.85998323516682	0.185253150036402	-10.0402246050949	1.01442907749367e-23	2.12972138897814e-21	Downregulated
Slc31a1	2164.28858065852	-2.39581361088762	0.238749607537021	-10.0348379023665	1.07135227857649e-23	2.2280084555604e-21	Downregulated
2500002B13Rik	1633.8888118502	4.28707071328074	0.430450537912483	9.95949670331779	2.29220157927991e-23	4.67863811237467e-21	Upregulated
Foxo4	3359.89126437348	4.32332432648086	0.43495447294336	9.93971690237991	2.7962065951418e-23	5.65500717278036e-21	Upregulated
Gm35587	62.9495824846163	7.32846940460203	0.739211762612575	9.91389717433774	3.62234601237249e-23	7.25918140879448e-21	Upregulated
Tap1	7308.36753296071	-1.61129054589772	0.163580599930989	-9.85013226860331	6.84538300269022e-23	1.35945606226399e-20	Downregulated
Ramac	2033.43933480615	2.04868829354782	0.208608799940572	9.82071846504772	9.16877255629042e-23	1.80461091277559e-20	Upregulated
Spire1	1450.31218556625	4.69771261366189	0.481031337267823	9.76591803840495	1.57677405902675e-22	3.070688627417e-20	Upregulated
Mpeg1	26145.6489365831	-2.71071214838304	0.277589032364199	-9.76519902568255	1.58799901798919e-22	3.070688627417e-20	Downregulated
Gm28512	427.405669194443	5.39244090560979	0.55360251471914	9.7406365799215	2.02283170553826e-22	3.87750453190309e-20	Upregulated
Phospho1	626.516463438435	4.97072285355717	0.510529932753297	9.73639846492442	2.10896600915778e-22	4.00776264705812e-20	Upregulated
