baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	direction
Il1r2	16301.6559896994	7.72106957987205	0.296406596207603	26.048912806462	1.38404991548618e-149	3.33735956121184e-145	Upregulated
Glipr2	5999.52820753196	2.35116239742677	0.100530806962943	23.3874815935123	5.73069258780133e-121	6.90920951848268e-117	Upregulated
Fkbp5	6125.37047128382	3.681667857627	0.161993833012153	22.7272099756464	2.41182325182801e-114	1.93854313571096e-110	Upregulated
Gzmb	11106.4381325301	4.56989707569425	0.23464645494453	19.4756706500192	1.76596543375202e-84	1.06456811260156e-80	Upregulated
Cd300lf	12578.5624471023	3.72521744567625	0.199513120576372	18.6715411744075	8.43822829675539e-78	4.06941997839325e-74	Upregulated
Alas1	3041.24260354179	2.46230693009563	0.13477439169071	18.269842654874	1.43864924172358e-74	5.78169152761343e-71	Upregulated
Slfn1	10229.2760507994	2.7890485522146	0.154129445605696	18.0954946100937	3.45825420120163e-73	1.19126976505107e-69	Upregulated
AA467197	537.488716292346	5.53553936148164	0.318879004854994	17.3593722923177	1.67545170052219e-67	5.05002085683646e-64	Upregulated
Ggt1	1494.88373805668	4.71866935073076	0.273043060236357	17.2817772648977	6.45286253717123e-67	1.72886527065344e-63	Upregulated
Klhdc4	1623.9337028257	2.52262564627875	0.150528867355295	16.7584177746091	4.91531642435894e-63	1.18523024940567e-59	Upregulated
Il18rap	4591.34794921278	2.84248896250317	0.171381050991195	16.5857832360312	8.83068864903984e-62	1.93576723085725e-58	Upregulated
Ephx1	1016.04039271136	-2.68119783291061	0.163448396152261	-16.4039409136381	1.79224951470903e-60	3.60137604568157e-57	Downregulated
Abca13	918.321990231074	4.90745391587889	0.304943066068835	16.0930169003126	2.85575848297325e-58	5.29699263845646e-55	Upregulated
Cpne2	1990.97846920996	3.41180402720915	0.212618584556043	16.0465936424755	6.03887109286726e-58	1.04010927615934e-54	Upregulated
Fbxl5	10365.0592961892	2.57099814857956	0.161270349825376	15.9421626564551	3.22979883324787e-57	5.19200928440706e-54	Upregulated
Chil3	61399.2930050403	4.22327683148163	0.266742015287096	15.8328144403352	1.84768313676733e-56	2.62077549863944e-53	Upregulated
Tbc1d2	922.74316243286	3.89756253387376	0.246145627165725	15.834376497981	1.80236848326667e-56	2.62077549863944e-53	Upregulated
Ptpn1	12945.5265935319	1.6830032043009	0.10701356017114	15.7270088165405	9.87679623980693e-56	1.32310659850258e-52	Upregulated
Pira12	1119.17281498352	3.44409923345826	0.221954489725094	15.5171415443049	2.65622680240827e-54	3.3710314150774e-51	Upregulated
Il12rb2	1503.02286911143	2.61094968482283	0.168381047353996	15.5061969613106	3.14991414334169e-54	3.7976939869199e-51	Upregulated
Tlr13	5099.75793576266	2.38269414025025	0.153771030844232	15.4950781507336	3.74505128827678e-54	4.30021055781991e-51	Upregulated
Trem1	2877.55851288352	3.76258668497231	0.244494659822536	15.3892387167202	1.93293034537147e-53	2.11857951899738e-50	Upregulated
C5ar1	3664.32713847018	2.19618475073823	0.143749079918625	15.2779047488962	1.07336630917535e-52	1.12530790491935e-49	Upregulated
Ifitm6	11851.2364028158	4.37266453264358	0.288484127558329	15.1573834222802	6.77136952243466e-52	6.80325138726945e-49	Upregulated
Adamtsl4	1853.26300649281	4.05453352766689	0.268168111628936	15.1193723334158	1.20687449232748e-51	1.1640545853397e-48	Upregulated
Mapk11	623.643944426556	-2.14100621064371	0.144320273882202	-14.8351035724285	8.68697482775813e-50	8.05650092391276e-47	Downregulated
Rgs1	770.747209261989	3.10197801327344	0.210814298555985	14.7142676494008	5.22083727858529e-49	4.66259441846397e-46	Upregulated
Cd33	16250.7965548905	3.88980996205289	0.265558370046931	14.6476646974654	1.39426015525818e-48	1.20070696870501e-45	Upregulated
Crispld2	1526.97425768413	4.95904951432765	0.34574154105144	14.3432273114958	1.17463459907854e-46	9.76688416813133e-44	Upregulated
Alox5ap	22036.6198037256	2.57581342689932	0.180188879095328	14.295074367695	2.34854783306835e-46	1.88768446329257e-43	Upregulated
Mmp8	25842.2181322712	4.73275396017693	0.333465775643705	14.1926227692814	1.0177971727657e-45	7.91682039577399e-43	Upregulated
Nfil3	1169.26837644323	2.09805957414138	0.149943627162024	13.9923224071024	1.73647427688261e-44	1.3084876324522e-41	Upregulated
Slfn4	10584.7805900563	4.09279919227839	0.293191021028975	13.9594970470597	2.75370231873021e-44	2.01212193974369e-41	Upregulated
Cd177	10446.4869918383	4.82959540376214	0.346900827379073	13.9221213170663	4.64898236449371e-44	3.29708563985403e-41	Upregulated
Vdr	359.285705281445	4.65531061040555	0.336222304611806	13.8459303459372	1.3462633133709e-43	9.27498493580355e-41	Upregulated
S100a8	103134.021165685	4.15659781979708	0.30103788639109	13.8075571471329	2.29482413980817e-43	1.52071957340496e-40	Upregulated
Gm15411	407.854673519798	-4.09456680720167	0.296599265501052	-13.8050470229069	2.37617415642338e-43	1.52071957340496e-40	Downregulated
Cpd	3839.25593227601	2.60717442169436	0.188865019700184	13.8044325298202	2.39652236508889e-43	1.52071957340496e-40	Upregulated
Il2ra	1685.96198751933	3.97312991804041	0.289463266223658	13.7258518839848	7.10886356597206e-43	4.39528274785345e-40	Upregulated
Tirap	1030.94370468909	1.82518369941367	0.133076030728979	13.7153452009011	8.21743575227362e-43	4.95367570736435e-40	Upregulated
Sla	10668.2031272449	1.73057440302738	0.126311961009233	13.700795943631	1.00417440652046e-42	5.90577011327507e-40	Upregulated
Pygl	11493.6402015811	2.63901625196367	0.193535287535556	13.6358401900162	2.45151045834574e-42	1.40745884957359e-39	Upregulated
Tbc1d8	1835.29110896976	2.88585193977746	0.212011073191478	13.6117981779711	3.40755339836696e-42	1.91084500220517e-39	Upregulated
Fcgr3	10022.9075896542	1.84629562274118	0.137384146336731	13.4389277945933	3.57580186601298e-41	1.95962069079934e-38	Upregulated
Lcp2	8862.69862584779	1.31381663519203	0.098011489149869	13.4047206770124	5.6736488612986e-41	3.04019322205541e-38	Upregulated
Rab27a	3756.63357626424	1.64236837637382	0.122678929808284	13.3875342647708	7.15157664196892e-41	3.74882538190862e-38	Upregulated
Tlr4	1113.72864345698	2.41473375367467	0.180612238118296	13.3697128103417	9.08910979240825e-41	4.6631000941349e-38	Upregulated
1600014C10Rik	3094.62425922532	2.15535055991878	0.162218714610031	13.2866948496059	2.76525460101823e-40	1.38913717071568e-37	Upregulated
Id2	5914.94655542243	2.49095718443292	0.187664951745906	13.2734277831783	3.30127305041308e-40	1.62456320540021e-37	Upregulated
Sytl3	932.648999141176	3.55891649870639	0.268165962710573	13.2713207251715	3.39543143078758e-40	1.63748076181162e-37	Upregulated
Cstdc5	2618.91212957247	8.5665232902672	0.647525610769417	13.2296285240179	5.91791324057727e-40	2.79801258764784e-37	Upregulated
Cyb5r4	3533.84279176456	1.50015176381296	0.114266300072792	13.1285581388153	2.2591711566454e-39	1.04760373269597e-36	Upregulated
Pgk1	4224.72897019159	1.50876399512088	0.115137785347687	13.1039865893268	3.1240721573168e-39	1.42133494206378e-36	Upregulated
Gca	601.130311894931	2.39834322362525	0.183392993025902	13.077616456625	4.42086356388633e-39	1.9740793169628e-36	Upregulated
Snx8	920.760626822227	-1.53012318913223	0.117120315296786	-13.0645412391082	5.25001633600819e-39	2.30170261654846e-36	Downregulated
Snx18	2728.79259170102	1.9495112275859	0.149273301342753	13.0600128090524	5.57184103680224e-39	2.39917505215022e-36	Upregulated
Foxp1	3572.73289508357	-1.49531314284465	0.114703263777921	-13.0363608984985	7.59987682815287e-39	3.21501456065351e-36	Downregulated
Lasp1	7759.51815461544	1.46762906076894	0.112616014547285	13.0321523689928	8.03097774761209e-39	3.33880976600294e-36	Upregulated
4930426D05Rik	305.384777163863	-4.27283369424464	0.329256335401398	-12.9772254466588	1.64740912270187e-38	6.732877317917e-36	Downregulated
P2ry13	2072.97326458419	3.17518013160346	0.24525382057215	12.9465062937496	2.45892416267712e-38	9.88200638910556e-36	Upregulated
Osm	532.78886992078	2.52377560284152	0.19519778636448	12.9293249162623	3.0750701307929e-38	1.21556009940671e-35	Upregulated
Csf2rb	11312.6711611261	1.94666359092465	0.150707037523257	12.9168725158189	3.61540425542003e-38	1.40610069049908e-35	Upregulated
Gsr	11919.5268463882	2.47664598267119	0.191889522980089	12.9066243128249	4.130136092329e-38	1.58079319990999e-35	Upregulated
Mapk13	1026.52250419853	3.78242681760529	0.293567519956792	12.8843504831937	5.51377403026974e-38	2.07740051862335e-35	Upregulated
Gyg1	3463.03458136721	1.90072751966707	0.147630124371709	12.8749300168667	6.22955191980829e-38	2.31097208372827e-35	Upregulated
Stfa2	5996.59297912739	7.97345148209892	0.621007600045724	12.839539293097	9.84586434235257e-38	3.59717161950224e-35	Upregulated
Lilrb4b	11546.256186254	2.96423340859006	0.231523357239134	12.8031721893545	1.57388160759917e-37	5.66432943343861e-35	Upregulated
Evl	3979.83832344275	-1.60789472083515	0.12563685285894	-12.7979544556121	1.68326885225255e-37	5.96892085799497e-35	Downregulated
Klhl2	1647.26365007342	2.2075943718555	0.172697574447454	12.7830073984461	2.04025017963243e-37	7.12993515673577e-35	Upregulated
