baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	direction
Ephx1	1016.04039271136	-4.68068218725137	0.161849350293141	-28.9199936779093	6.69340905245646e-184	1.66063478591445e-179	Downregulated
Fkbp5	6125.37047128382	4.23916642658508	0.156483101854687	27.0902504892933	1.28279452892434e-161	1.59130661313065e-157	Upregulated
Scd1	4964.13050456075	-5.73533969437597	0.214567907865302	-26.7297181178483	2.12544708540215e-157	1.75774473962758e-153	Downregulated
Nxpe2	2488.60149370164	-7.1086369843502	0.286374797470585	-24.8228442137278	5.08148281387277e-136	3.15178971530459e-132	Downregulated
Cdr2	36380.9008560016	-7.74867768402025	0.315955765805286	-24.5245648999978	8.08130365024208e-133	4.00994287125012e-129	Downregulated
Gbp5	6812.67205085503	5.16951224708725	0.21348802777063	24.2145299718695	1.56408912449352e-129	6.46750852978073e-126	Upregulated
Fech	169435.513619564	-7.15910447586451	0.300290718747556	-23.8405785757332	1.26821577712093e-125	4.49491906148148e-122	Downregulated
Il1r2	16301.6559896994	6.80592178070468	0.290702257803337	23.4120017922563	3.22530005646822e-121	1.00024618001221e-117	Upregulated
Mef2c	1980.19354801727	-4.19235057983426	0.181059796406017	-23.1545084168389	1.30940587268371e-118	3.60959552236475e-115	Downregulated
Fbxl5	10365.0592961892	3.57741764188311	0.155062537329936	23.0708055181066	9.09548353684839e-118	2.25658946549209e-114	Upregulated
Iigp1c	1332.64670988201	5.49481314891318	0.241060792792164	22.7943046451799	5.22213356898424e-115	1.17782848951363e-111	Upregulated
Plin2	6978.67124386636	3.17787383047992	0.13995281055867	22.706752496033	3.84207374372474e-114	7.94348746515089e-111	Upregulated
Il18bp	2100.3078958822	4.63096029886493	0.206826082557014	22.390601038379	4.85991261531177e-111	9.27495630660654e-108	Upregulated
Dcaf12	25360.6089554412	-4.73514465965345	0.21193587599049	-22.3423459455535	1.43315821874387e-110	2.53976110050254e-107	Downregulated
Lcp2	8862.69862584779	2.08825765749999	0.0936071945061047	22.3087303120039	3.04002999917028e-110	5.02820961862765e-107	Upregulated
Iigp1	7493.57935425853	5.94091930864214	0.267782878839506	22.1855830902572	4.73258285801777e-109	7.3384612942138e-106	Upregulated
Cxxc5	455.830668005371	-4.41685330125093	0.199628131776563	-22.1254051818436	1.80013655150562e-108	2.62714046134437e-105	Downregulated
Chil3	61399.2930050403	5.62844383272714	0.255390011334312	22.0386216489859	1.22819630115196e-107	1.69286390175445e-104	Upregulated
Gm4129	447.884225106219	-5.87007002897132	0.26663559586982	-22.0153277353008	2.05380531010088e-107	2.68183735492647e-104	Downregulated
Ly6c2	13010.1034724	4.18286501059939	0.190190324414055	21.9930484028886	3.3566427946996e-107	4.16391538682485e-104	Upregulated
Blk	2289.99605662787	-6.15280932535956	0.280358194413174	-21.946243940678	9.40593109953615e-107	1.11124357418806e-103	Downregulated
Cd79b	6158.87397362953	-6.08165512196666	0.277723620818001	-21.8982278282772	2.70082472330274e-106	3.04579369932459e-103	Downregulated
Gm15675	1288.01414205229	-6.60191119813574	0.301852959976194	-21.8712819601186	4.87678929989305e-106	5.26057141436289e-103	Downregulated
Il12rb2	1503.02286911143	3.33432329337814	0.154693608514668	21.5543701216458	4.81780292407723e-103	4.98040377276483e-100	Upregulated
Foxp1	3572.73289508357	-2.36336999992008	0.109906804653952	-21.5034001521679	1.44689073542157e-102	1.43589436583236e-99	Downregulated
Aff3	1041.15016476812	-4.72762553223386	0.221115382687191	-21.3808079509419	2.01608869459664e-101	1.92381386588241e-98	Downregulated
Tspan33	5257.63482598465	-6.98534019688707	0.327716768496807	-21.3151747740218	8.21003295231339e-101	7.54410805729241e-98	Downregulated
Psme3	62478.5755191314	-4.63775787430335	0.218176229838394	-21.256934716209	2.84395879956803e-100	2.51995063633153e-97	Downregulated
Cecr2	297.976281659451	-7.10624160050206	0.337722953783311	-21.0416304870458	2.72833656916257e-98	2.33413897520425e-95	Downregulated
Gzmb	11106.4381325301	4.60893947559334	0.22010560927838	20.9396729629191	2.33053390374498e-97	1.9273515383971e-94	Upregulated
Irf1	8445.34116862574	2.49010699175049	0.119344641967448	20.8648411080716	1.11765287684039e-96	8.94482834658391e-94	Upregulated
Tent5c	195807.142776617	-6.74324174504418	0.324160319030968	-20.8021813564416	4.13566204259034e-96	3.10926591747474e-93	Downregulated
