baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	direction
Iigp1	7493.57935425853	-9.30341752022959	0.275769961484111	-33.7361526620281	1.7065125256462e-249	4.23385757612823e-245	Downregulated
Ifi206	1565.35068596867	-3.96140678871323	0.125369048759805	-31.5979647919553	3.9375658487356e-219	4.88455043535652e-215	Downregulated
Tgtp2	2254.44728864568	-5.66043183268006	0.195124066770541	-29.009398616812	5.00802761653078e-185	4.14163883887095e-181	Downregulated
Gbp5	6812.67205085503	-5.68714733264292	0.196517000271907	-28.9397218804175	3.77994293740004e-184	2.34450960692237e-180	Downregulated
Slfn8	2066.88593157249	-4.57709128689701	0.160128575401745	-28.5838506675876	1.06675218415731e-179	5.29322433778859e-176	Downregulated
Iigp1c	1332.64670988201	-8.55103565565306	0.31493742291302	-27.1515387931992	2.42826902362319e-162	1.00408924126819e-158	Downregulated
Irgm1	5207.60608602225	-4.66117230459843	0.175090688800167	-26.6214744858208	3.83016149436092e-156	1.35751866678706e-152	Downregulated
Tap1	7308.36753296071	-2.72366844704834	0.10355932663336	-26.300561577531	1.88955690427619e-152	5.85998834938653e-149	Downregulated
Irf1	8445.34116862574	-2.76270113927033	0.109562820719643	-25.215681023216	2.69609454422684e-140	7.43223396025198e-137	Downregulated
Phf11d	576.693597061588	-6.02837212802046	0.249147593209203	-24.1959878093568	2.45195316024127e-129	6.0832957905586e-126	Downregulated
Slfn5	3551.93003194241	-4.74856772702611	0.20169329749602	-23.543507820927	1.46310897572487e-122	3.299975789794e-119	Downregulated
Zbp1	5697.21773921169	-4.7245306209649	0.201102054906707	-23.4931991279584	4.78685055463337e-122	9.8968135217045e-119	Downregulated
Nxpe2	2488.60149370164	6.17132054360561	0.265491890993213	23.2448551272828	1.60362018480906e-119	3.06044744500868e-116	Upregulated
Tgtp1	1884.34370235225	-7.22455853399049	0.311633045089711	-23.1829026087741	6.77392652132888e-119	1.20043654995835e-115	Downregulated
Dtx3l	3746.63624637855	-2.70480919964912	0.116967979290868	-23.1243560506673	2.63420225404523e-118	4.35697052819082e-115	Downregulated
Fech	169435.513619564	6.35355704849695	0.275868335555784	23.0311211168786	2.2742986841384e-117	3.5265843970921e-114	Upregulated
Gm4129	447.884225106219	5.79552874799192	0.252379565852251	22.9635419508756	1.07912948669918e-116	1.57489426852981e-113	Upregulated
Wars1	2825.51873341533	-2.58032871263041	0.114477582122065	-22.5400350426606	1.68185513643997e-112	2.31815699639309e-109	Downregulated
Epb41	417975.313986778	6.3501303235327	0.283874343595102	22.3695112531553	7.79864231434113e-111	1.01833850430949e-107	Upregulated
Cdr2	36380.9008560016	6.48982496433016	0.290438459158833	22.3449228560363	1.35281571407597e-110	1.67816789331124e-107	Upregulated
AW112010	11522.1755507688	-4.13599566428325	0.185120429084221	-22.3421892696757	1.43819381721313e-110	1.69912326690751e-107	Downregulated
Isca1	76373.5986948734	6.28406946395067	0.281791271756176	22.3004404103334	3.65881890453399e-110	4.1261498646131e-107	Upregulated
