"padj" "direction"
"Fech" 5.22104434896018e-54 "Upregulated"
"Gm4129" 7.15026252226055e-52 "Upregulated"
"Cdr2" 1.10796344538721e-49 "Upregulated"
"Isca1" 9.96832690776225e-47 "Upregulated"
"Tent5c" 2.66333665580612e-45 "Upregulated"
"Tmod1" 5.28287513512087e-45 "Upregulated"
"Gm20161" 3.71043448698255e-44 "Upregulated"
"Psme3" 2.23494818558184e-41 "Upregulated"
"Dcaf12" 2.58991692089501e-40 "Upregulated"
"Bpgm" 1.96271258747153e-39 "Upregulated"
"Tfdp2" 1.18215667047597e-36 "Upregulated"
"AK157302" 1.69541020910403e-36 "Upregulated"
"Wars1" 4.9718522832998e-36 "Downregulated"
"Ccndbp1" 6.11036185161887e-36 "Upregulated"
"Gm10371" 8.71756069507834e-36 "Upregulated"
"Lars2" 3.57229602644718e-35 "Upregulated"
"Spta1" 1.63520416356789e-34 "Upregulated"
"Slc25a37" 1.75013080416101e-34 "Upregulated"
"Gm57318" 2.47505270720621e-33 "Upregulated"
"Ifi206" 9.90236998255637e-33 "Downregulated"
"Fam117a" 1.11552213046234e-32 "Upregulated"
"Acmsd" 2.24847669954913e-32 "Upregulated"
"Gm64405" 7.42656869627997e-32 "Upregulated"
"Ppp1cb" 1.50450596423978e-30 "Upregulated"
"Gm15564" 4.87507447491155e-30 "Upregulated"
"Syngr1" 4.93682091970811e-30 "Upregulated"
"Adipor1" 1.93325343711458e-29 "Upregulated"
"Ank1" 3.03387595237781e-29 "Upregulated"
"Gm61064" 1.66043568819824e-28 "Upregulated"
"Hbq1b" 1.27159571976845e-27 "Upregulated"
"Prxl2a" 7.17887878012278e-27 "Upregulated"
"Iigp1c" 1.0317988671879e-26 "Downregulated"
"Riok3" 1.69923654964858e-26 "Upregulated"
"Isg20" 2.19330876241776e-26 "Upregulated"
"Rec114" 4.46619380269996e-26 "Upregulated"
"Gm58727" 7.73966107006879e-26 "Upregulated"
"Sec61g" 8.93526021108199e-26 "Upregulated"
"Ctse" 3.27051364157379e-25 "Upregulated"
"Gm74252" 1.13398231165799e-24 "Upregulated"
"Evl" 1.37711820579782e-24 "Downregulated"
"Gm59243" 1.60481335400649e-24 "Upregulated"
"Ptp4a3" 6.75842435113716e-24 "Upregulated"
"Mkrn1-ps1" 1.88487800112721e-23 "Upregulated"
"Gm75556" 2.6939810024251e-23 "Upregulated"
"Rn18s-rs5" 5.18254609016029e-23 "Upregulated"
"Fundc2" 5.46612338986989e-23 "Upregulated"
"Gm28723" 1.00012000822453e-22 "Upregulated"
"Nampt" 2.17859551324173e-22 "Downregulated"
"Tnk2os" 2.24483279609374e-22 "Upregulated"
"Ncoa4-ps" 3.59886341363793e-22 "Upregulated"
"Iscu" 4.35289604180017e-22 "Upregulated"
"Rfx2" 6.81663360327351e-22 "Upregulated"
"Dnase1l3" 1.13404990007447e-21 "Downregulated"
"Mir6236" 1.24143674542266e-21 "Upregulated"
"Gm60112" 2.43701298488599e-21 "Upregulated"
"2500002B13Rik" 4.67863811237467e-21 "Upregulated"
"Gm35587" 7.25918140879448e-21 "Upregulated"
"Tap1" 1.35945606226399e-20 "Downregulated"
"Ramac" 1.80461091277559e-20 "Upregulated"
"Gm28512" 3.87750453190309e-20 "Upregulated"
"Phospho1" 4.00776264705812e-20 "Upregulated"
"Ube2b" 4.89528595473015e-20 "Upregulated"
"Marchf2" 5.81844977448008e-20 "Upregulated"
"H2-M3" 6.39409035911544e-20 "Downregulated"
"Abcb4" 3.23701802456503e-19 "Upregulated"
"Gm65765" 3.67619214930159e-19 "Upregulated"
"Smap1" 8.08320091166866e-19 "Upregulated"
"Sec61g-ps1" 1.04862501273183e-18 "Upregulated"
"Slc25a51" 1.1555131322285e-18 "Upregulated"
"Vopp1" 1.56937456939456e-18 "Upregulated"
"Gm5424" 3.78561662429666e-18 "Downregulated"
"Gbp2b" 6.05205381321238e-18 "Downregulated"
"Usp15" 6.05205381321238e-18 "Upregulated"
"Gm40180" 1.12202917026705e-17 "Upregulated"
"Sox6" 1.54789365397987e-17 "Upregulated"
"Gm15378" 1.58891989150593e-17 "Upregulated"
"Ear2" 3.01761598688471e-17 "Upregulated"
"Dazap2" 3.79040577224339e-17 "Upregulated"
"Gm6055" 3.86819438218002e-17 "Upregulated"
"Cat" 6.17768324797818e-17 "Upregulated"
"Gm55094" 7.71805395023241e-17 "Upregulated"
"Stac2" 9.43996745096143e-17 "Upregulated"
"Ms4a6c" 1.37002444942176e-16 "Downregulated"
"Prdx2" 1.58946070531616e-16 "Upregulated"
"Gm74436" 1.7543739631615e-16 "Upregulated"
"Gpx1" 1.9102806505893e-16 "Upregulated"
"Gm72623" 2.52962049278119e-16 "Upregulated"
"AW112010" 2.85011368877242e-16 "Downregulated"
"Ccni" 3.17989164570309e-16 "Upregulated"
"Marchf3" 3.62807811268428e-16 "Upregulated"
"9530026F06Rik" 4.61947539985409e-16 "Upregulated"
"E2f2" 6.79164583360643e-16 "Upregulated"
"Mlkl" 7.00583897008551e-16 "Downregulated"
"Gm15411" 1.01372661026992e-15 "Upregulated"
"Rnf11" 1.62468327736906e-15 "Upregulated"
"Gm56889" 1.78763613232954e-15 "Upregulated"
"Gm56655" 1.93591995832919e-15 "Upregulated"
"Gm10134" 2.38590423600359e-15 "Downregulated"
"Fam210b" 2.61516624099668e-15 "Upregulated"
"Retnla" 2.71642675103194e-15 "Upregulated"
"Hipk1" 3.25908543226712e-15 "Upregulated"
"Cox6b2" 3.73634772300958e-15 "Upregulated"
